Site #,Site Status,Site Activation Date,State,Country
43875,Initiated,30-May-2017,CO,USA
43875,Initiated,30-May-2017,CO,USA
43874,Initiated,02-Mar-2017,FL,USA
43874,Initiated,02-Mar-2017,FL,USA
43874,Initiated,02-Mar-2017,FL,USA
43874,Initiated,02-Mar-2017,FL,USA
43873,Enrolling,04-Jan-2017,FL,USA
43873,Enrolling,04-Jan-2017,FL,USA
43873,Enrolling,04-Jan-2017,FL,USA
43872,Selected,,VA,USA
43872,Selected,,VA,USA
43872,Selected,,VA,USA
43871,Initiated,22-Mar-2017,UT,USA
43871,Initiated,22-Mar-2017,UT,USA
43871,Initiated,22-Mar-2017,UT,USA
43871,Initiated,22-Mar-2017,UT,USA
43870,Initiated,06-Jun-2017,WI,USA
43870,Initiated,06-Jun-2017,WI,USA
43870,Initiated,06-Jun-2017,WI,USA
43870,Initiated,06-Jun-2017,WI,USA
43868,Enrolling,20-Mar-2017,TX,USA
43868,Enrolling,20-Mar-2017,TX,USA
43868,Enrolling,20-Mar-2017,TX,USA
43866,Selected,,TX,USA
43866,Selected,,TX,USA
43866,Selected,,TX,USA
43866,Selected,,TX,USA
43865,Initiated,04-Jul-2017,TN,USA
43865,Initiated,04-Jul-2017,TN,USA
43865,Initiated,04-Jul-2017,TN,USA
43865,Initiated,04-Jul-2017,TN,USA
43865,Initiated,04-Jul-2017,TN,USA
43864,Selected,,TN,USA
43864,Selected,,TN,USA
43864,Selected,,TN,USA
43861,Selected,,RI,USA
43861,Selected,,RI,USA
43861,Selected,,RI,USA
43860,Enrolling,01-Jan-2017,PA,USA
43860,Enrolling,01-Jan-2017,PA,USA
43860,Enrolling,01-Jan-2017,PA,USA
43860,Enrolling,01-Jan-2017,PA,USA
43860,Enrolling,01-Jan-2017,PA,USA
43860,Enrolling,01-Jan-2017,PA,USA
43860,Enrolling,01-Jan-2017,PA,USA
43860,Enrolling,01-Jan-2017,PA,USA
43859,Enrolling,27-Feb-2017,OH,USA
43859,Enrolling,27-Feb-2017,OH,USA
43859,Enrolling,27-Feb-2017,OH,USA
43859,Enrolling,27-Feb-2017,OH,USA
43859,Enrolling,27-Feb-2017,OH,USA
43857,Selected,,OH,USA
43857,Selected,,OH,USA
43857,Selected,,OH,USA
43856,Initiated,24-Jul-2017,NY,USA
43856,Initiated,24-Jul-2017,NY,USA
43856,Initiated,24-Jul-2017,NY,USA
43856,Initiated,24-Jul-2017,NY,USA
43855,Selected,,NY,USA
43855,Selected,,NY,USA
43855,Selected,,NY,USA
43855,Selected,,NY,USA
43855,Selected,,NY,USA
43854,Selected,,NY,USA
43854,Selected,,NY,USA
43853,Selected,,NV,USA
43853,Selected,,NV,USA
43852,Initiated,15-Feb-2017,NC,USA
43852,Initiated,15-Feb-2017,NC,USA
43852,Initiated,15-Feb-2017,NC,USA
43852,Initiated,15-Feb-2017,NC,USA
43851,Enrolling,17-Jan-2017,MS,USA
43851,Enrolling,17-Jan-2017,MS,USA
43851,Enrolling,17-Jan-2017,MS,USA
43851,Enrolling,17-Jan-2017,MS,USA
43850,Selected,,MO,USA
43850,Selected,,MO,USA
43847,Initiated,30-May-2017,MA,USA
43847,Initiated,30-May-2017,MA,USA
43847,Initiated,30-May-2017,MA,USA
43847,Initiated,30-May-2017,MA,USA
43846,Selected,,IN,USA
43846,Selected,,IN,USA
43846,Selected,,IN,USA
43840,Selected,,FL,USA
43840,Selected,,FL,USA
43840,Selected,,FL,USA
43840,Selected,,FL,USA
43839,Enrolling,18-Jun-2017,FL,USA
43839,Enrolling,18-Jun-2017,FL,USA
43839,Enrolling,18-Jun-2017,FL,USA
43839,Enrolling,18-Jun-2017,FL,USA
43839,Enrolling,18-Jun-2017,FL,USA
43838,Selected,,FL,USA
43838,Selected,,FL,USA
43838,Selected,,FL,USA
43837,Selected,,DC,USA
43837,Selected,,DC,USA
43837,Selected,,DC,USA
43837,Selected,,DC,USA
43837,Selected,,DC,USA
43837,Selected,,DC,USA
43836,Selected,,CA,USA
